epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,876.212,1.01566,1.37722,1.1199,0.85208,0.63893,0.7319,0.533,1.05162,1.88357,1.08337,0.0676226,0.000327044,0.000327044
2,1662.23,1.07439,1.02737,1.12372,0.65354,0.46789,0.5677,0.40811,1.15082,2.69539,1.23579,0.0345896,0.000627362,0.000627362
3,2582.04,1.1185,0.99438,1.13666,0.64257,0.64725,0.68575,0.46093,1.15183,2.60764,1.17928,0.00152328,0.00089435,0.00089435
4,3347.7,1.119,1.02295,1.15523,0.80917,0.63214,0.70689,0.45895,1.22749,3.53647,1.34091,0.000850015,0.000850015,0.000850015
5,4148.03,1.09284,0.94828,1.13604,0.76974,0.68496,0.73681,0.53123,1.0374,1.19576,1.14113,0.00080002,0.00080002,0.00080002
6,5000.23,1.03437,0.87343,1.10332,0.83246,0.68988,0.75394,0.56245,0.9615,1.13306,1.09189,0.000750025,0.000750025,0.000750025
7,6371.28,0.98812,0.83478,1.0871,0.86463,0.80003,0.8635,0.64086,0.85555,0.83628,1.00077,0.00070003,0.00070003,0.00070003
8,7199.39,0.93525,0.81519,1.06882,0.94622,0.79101,0.87,0.69501,0.79658,0.77707,0.97753,0.000650035,0.000650035,0.000650035
9,8019.84,0.92436,0.74935,1.06253,0.88213,0.73446,0.82362,0.63369,0.84335,0.81798,1.00881,0.00060004,0.00060004,0.00060004
10,8929.07,0.88737,0.71595,1.0561,0.90906,0.8143,0.88325,0.71328,0.73529,0.61795,0.9318,0.000550045,0.000550045,0.000550045
11,9643.94,0.74039,0.59509,0.95541,0.9026,0.77968,0.84895,0.67954,0.73776,0.65987,0.96004,0.00050005,0.00050005,0.00050005
12,10242.8,0.69934,0.57626,0.94933,0.95073,0.80125,0.89302,0.72346,0.70679,0.57892,0.93693,0.000450055,0.000450055,0.000450055
13,10911.4,0.70377,0.55548,0.94086,0.79417,0.70968,0.80279,0.62549,0.818,0.90472,1.00095,0.00040006,0.00040006,0.00040006
14,11657.2,0.69147,0.5216,0.93764,0.93388,0.8558,0.89199,0.72498,0.69441,0.53874,0.95268,0.000350065,0.000350065,0.000350065
15,12438.2,0.64283,0.49581,0.91434,0.9764,0.83978,0.89867,0.7454,0.66795,0.50067,0.94002,0.00030007,0.00030007,0.00030007
16,13266.7,0.60953,0.45561,0.90613,0.97975,0.8311,0.91147,0.7602,0.6318,0.47473,0.91992,0.000250075,0.000250075,0.000250075
17,14030.3,0.5676,0.42256,0.88236,0.95148,0.84894,0.91915,0.79574,0.56147,0.43943,0.87919,0.00020008,0.00020008,0.00020008
18,14863.1,0.55171,0.4006,0.88247,0.94116,0.87132,0.91144,0.79392,0.55485,0.42307,0.87499,0.000150085,0.000150085,0.000150085
19,15557.7,0.50786,0.37816,0.86142,0.94908,0.8733,0.92173,0.80394,0.52018,0.41754,0.86047,0.00010009,0.00010009,0.00010009
20,16325.6,0.48325,0.36073,0.86013,0.94046,0.88476,0.92279,0.81244,0.51087,0.3974,0.86837,5.0095e-05,5.0095e-05,5.0095e-05
